"Site","alewife","rock.bass","American.gizzard.shad","banded.killifish","blacknose.dace","blacknose.shiner","bluegill","bowfin","brook.silverside","brook.stickleback","brown.bullhead","burbot","central.mudminnow","chain.pickerel","channel.catfish","common.carp","Cottidae.sp.","creek.chub","creek.chubsucker","Cyprinidae.sp.","Cyprinus.sp.","emerald.shiner","fantail.darter","freshwater.drum","golden.shiner","greater.redhorse","green.sunfish","lake.sturgeon","largemouth.bass","Lepisosteus.sp.","logperch","longnose.dace","Luxilus.sp.","northern.hogsucker","northern.pike","Notropis.sp.","Percina.sp.","trout.perch","pumpkinseed","round.goby","smallmouth.bass","spottail.shiner","tessellated.darter","walleye","white.perch","white.sucker","yellow.bullhead","yellow.perch"
"X7G",0,0.237205812349225,26.9422234414207,0.719685661957513,0,0,0,0,0,0,1.41758711665846,0,0,0,0.395746431827534,25.7505466222376,0,0,0,0.246080859750046,0.855635251688276,4.89620228653494,0,7.57808024656495,0,1.28889892934655,0,0,0,14.605100731788,0,0,0,0,0,0,0,0,2.011811881268,6.41141492460244,1.3365014563146,0,0,1.8084926135401,0,0,0,3.49878573215107
"X8G",0,0,35.0151853164592,0,0,0,0,0,0,0,4.45551779496695,0,0,0.856215555045903,0.121621527705384,12.4748938417808,0,0,0,0,0.622702221851566,5.94903015518907,0,2.00362779642641,0,0,0,0,0,0.528184920320525,0.424632876731369,0,0,0,0,0,0,0,0,14.8190619157823,1.39969003884939,0,0,4.48609692193288,0.660231150400656,0,0,16.1833079665576
"X9G",0,0.465852637708587,2.01808818444853,0.468582243007661,0,0,0,0,0,0,2.07268029043,0,0,1.83611449784361,0,61.6126508106928,0,0,0,0.540461849216603,0,0,0,0.951722380943716,0,0,0,0,0,0,0.195621713100286,0,0,0,0,0,0,1.4248539661165,0.312084872527432,7.04602114534238,1.50401251978964,0.111913817262024,0,0.749731588812258,0,0,0,18.689607482758
"X10G",0,1.37270295195921,20.0166157270143,0,0,0,0,0,0,0,0.164632891517595,0.669202216446521,0,3.81399532015762,0,26.3808964870695,0,0,0,0.138718454889826,0.121950290013033,0.285058802905466,0,7.68058170288336,0,1.53428708622648,0,0,0,0,0.258382176965115,0,0,0,0,0.134907508326918,0,0,0.257619987652533,13.370324921304,1.2865755596375,0,0,4.22710192757677,0,0,0,18.2864459874544
"X11G",0,0.195756154314946,2.05451624222054,0,0,0,0,0,0,0,0.761786921272784,0,0,0.218840606474727,0.259469242275942,59.7407154333413,0,0,0,0.436757834863063,0,0,0,3.17919075144509,0,0,0,0,0,1.22993961107315,0,0,0,0,0,0,0,0,0.156974274686513,5.36113316958762,1.55866220982844,0,0,2.89202016657741,1.20685515891337,0,0,20.7473822231251
"X13G",0,0,8.08905916434377,2.1980838005268,0,0,0,0,0,0,0,0,0,0,0.844151467446831,14.8787743904352,0,0,0.893501244922378,0,0,0,0,54.2868907104299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279014766227535,0,0,0,9.4132948767657,1.38803339635245,0,0,7.72919618254947
"X14G",0.417344012548833,3.56712930594734,1.09981962614413,0.232712739987454,0.118582725512238,0.235642155143389,0.204629413359227,0,0,0,0.462769476900194,0,0,0.583539499062196,0,25.47071795669,0,0.302432820698701,0,0.202012469153258,0,4.78018059258553,1.82553340744103,1.73647918670061,0.14615828684677,0,0,0.480072555754582,0.858748288245077,1.04521532763751,6.85287852144996,0,0.379300674390428,0.364536422004517,5.35372102124881,6.91666165411184,0.234470389081015,0,5.45066513347587,5.02929805744622,2.25232966622634,0,0.558268410983666,18.3575901927868,0,1.28968478711745,0,3.19087522331908
"X15G",0,2.37004196025651,3.12053111958108,0.59205808837667,0,0,0.120384089032652,0.189692027551263,0,0,0,0.188606263501363,0,0.540303335331441,0,50.8391825101508,0,0,0,0.344639605505729,0,0,0,4.3357272922628,0,0,0,0,0.265378829863035,8.70271554112897,0.410418810862165,0,0,0,0,0.644581924290578,0,1.93908411278374,2.56339844147619,3.06081409683658,0.650101224877569,0,0,0.89860547179841,0,0.581517129058891,0,17.6422181254736
"X16G",0,0,0.670890715081121,0,0,0,0,0,0,0,0,0,0,0,0,10.8876844790888,0,0,0,0,0,0,0,83.3333803194114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926025118757312,0.250764698419858,0.892265621696291,0,0,1.99441805393062,0,0,0,1.04457099361459
"X17G",0,1.84444288565653,1.11518521588858,0,0,0,7.23760816748184,4.20477371713526,0,0,0.661790494653003,0,2.57051212559863,0.846081738587015,0,55.3502490163694,0,0,0,0.522774954246032,0,0,0,0.153044631640702,0.135572036195055,0,0,0,2.03995740257753,0,0,0,0,0,0,0,0,0,9.67930772811621,0.282367345377096,0,0,0,0.14743299514721,0,0,0.11197765548378,13.0969218898461
"X18G",0,0,0.953060736790471,0,0,0,12.7771768523526,0.723835637113713,0,0,0.169481932408467,0,0,3.52547574427409,0,55.7994893531387,0,0,0,0.48014640220358,0,0,0,2.7453557548392,0.152187857672909,0,0,0,1.30491654822846,0,0,0,0,0,0,0,0,0,7.99426465594224,0,0,0,0,0,0,0,0,13.3746085250355
"X19G",0,0,0.160314215863092,0,0,0,2.96369118766901,4.40416156843885,0,0.312848477132827,0,0,0,0.998427506147343,0,75.617150792023,0,0,0,0.605186164883171,0,0,0,0,0.169980220054837,0,0,0,0.784596632929955,0,0,0,0,0,0,0,0,0,5.82671447802399,0,0,0,0,0,0,0,0,8.15692875683398
"X20G",0,0.155627792063356,0.787469163677892,0.28289176590893,0,0,0.991614013219032,0,0.434600872560618,0,0.194254833978361,0,0,2.15602339268587,0,71.6540957726715,0,0,0,0.726076425561772,0,0,0,9.1016133787652,0,0,0,0,0.773100650501778,0.382724941872833,0,0,0,0,0,0,0,0,1.9910653972614,0.276360623556151,0,0,0,3.18271897054268,0,0,0,6.90976200517266
"X21G",0,0,0.707998805361817,0,0,0,2.53216446185649,0.214917751503546,0.182123762173305,0,0.243612492167507,0,0,0.970350720003748,0,74.4435269935525,0,0,0,0.690430596792045,0,0,0,0.173339657888418,0.184466189982607,0,0,0,1.77614588640396,0,0,0,0,0,0,0,0,0,8.20962386465452,0,0,0,0,0.132932778177943,0,0,0,9.53836603948162
"X22G",0,8.09501460948026,21.3252993808003,0,0,0,1.14907725614279,0.366372458480311,0,0.469320091441721,0,0,1.1596748065947,0.130198476980606,0,41.207817964362,0.401192981393729,0,0,0.352747036470713,0,0.516252100585893,0.202867394365131,1.36859794407521,0.231632174163172,0.314898641999606,0.301273219990008,0,0.224062495268951,0,6.0027553631175,0.242229724615082,0,0.115059119192164,2.76141886061193,0,0.248285467730459,0,1.23688553131576,2.0831756316897,1.98325587028598,0,1.0158509076045,2.38293491590087,0,1.70317775119979,0,2.40867182414122
"X23G",0,1.92094445030041,3.74238431537894,1.73458416780858,0,0,0.112575102772215,0,0,0,0.285443238115316,0,0,0.11341836196901,0,26.9396015600295,0,0,0,0.118056287551386,0,0,0,7.58553810477496,0.534204701170022,0,0.107093917993043,0,1.11099399177822,38.0946558448403,0,0,0,0,0.496258037314219,0,0,0,4.81711816169495,0.400548118477917,1.73837883419416,0,0,2.92990407926636,0,0,0,7.21829872457047
"X24G",0,0.424460066492399,28.5701596325153,0.626538588432353,0,0,0,0.428584117960561,0,0,3.00548181610537,0,0,0.342930741314113,0,22.2448163845392,0,0,0,0.125624952414791,0,0,0,10.3954648123239,0,0,0,0,1.32413775600843,7.13968479557394,0,0,0,0,0,0,0,0,4.42637616425145,5.85393244169226,4.21700124356014,0,0,0.907608557724031,0,0.136093698449357,0,9.83110423064234
"X25G",0,0.179234804140149,8.52252764718676,0.558944900573421,0,0,0,0,0,0,0.500897265141668,0,0,0,0,59.3398499926895,0,0,0,0.580003535231932,0,0,0,12.7617144565527,0,6.03313516151864,0,0,0.200366180196445,0,2.28706228773151,0,0,0,0,0,0,0,0,1.23940430614527,0.419426899623418,0,0,0.310096578753838,0.130279843431415,0,0,6.9370561410834
"X26G",0,2.17495004285753,1.76085238411484,0.344196637549284,0,0,0,0.478690211518337,0,0,0.266908307159119,0,0,0,0,38.6084165581153,0,0,0,0.301877378834208,0,0,0,1.90013471630691,0,0,0,0,4.20772222529511,0,1.30484381038151,0,0,0,0,0,0,0,0.607021507463966,3.78879868617263,3.47229517757198,0,0,1.91153121843457,0,0,0,38.8717611382247
